name,online_order,book_table,rate,votes,location,rest_type,cost2plates,category,grouped_cuisines
chination,Yes,No,3.7,0,Electronic City,Delivery,600.0,Delivery,Asian Cuisine
dine in restaurant,No,No,3.4,7,BTM,Quick Bites,500.0,Delivery,North Indian Cuisine
dilish kitchens,No,No,3.7,28,BTM,Casual Dining,500.0,Delivery,North Indian Cuisine
apsara hotel,Yes,No,3.7,0,Shivajinagar,Quick Bites,150.0,Delivery,North Indian Cuisine
pelican,No,No,3.4,20,Marathahalli,Others,400.0,Drinks & nightlife,North Indian Cuisine
the jade kitchen,Yes,No,4.0,118,JP Nagar,Casual Dining,600.0,Delivery,Asian Cuisine
cafe coffee day,Yes,No,2.8,26,Seshadripuram,Cafe,900.0,Delivery,Fast Food & Street Food
red chilli,Yes,No,3.7,0,BTM,Quick Bites,400.0,Dine-out,Mughlai & Hyderabadi Cuisine
freeze it,Yes,No,3.5,35,Jayanagar,Dessert Parlor,300.0,Desserts,Desserts & Beverages
chai makhani,Yes,No,3.5,11,Koramangala 5th Block,Beverage Shop,100.0,Delivery,Desserts & Beverages
cafe mandala,Yes,No,3.9,48,New BEL Road,Cafe,600.0,Delivery,North Indian Cuisine
fat buddha,Yes,Yes,4.0,457,Cunningham Road,Casual Dining,1000.0,Delivery,Asian Cuisine
hotel ramprasad,Yes,No,4.2,93,Brigade Road,Quick Bites,300.0,Delivery,South Indian Cuisine
pasta street,Yes,Yes,4.5,41,Cunningham Road,Casual Dining,400.0,Dine-out,Western Cuisine
big foody's,No,No,3.2,4,Koramangala 8th Block,Delivery,500.0,Delivery,North Indian Cuisine
vaho kafe & pressery,No,No,3.9,124,Bannerghatta Road,Cafe,500.0,Dine-out,North Indian Cuisine
white fog,No,No,3.7,0,Koramangala 6th Block,Cafe,800.0,Cafes,Western Cuisine
orchard fresh,No,No,3.4,4,Indiranagar,Dessert Parlor,400.0,Desserts,Desserts & Beverages
marunadan kada,No,No,3.3,6,BTM,Quick Bites,250.0,Dine-out,South Indian Cuisine
sri srinivas park hotel,Yes,No,3.7,0,BTM,Quick Bites,300.0,Delivery,South Indian Cuisine
the punjabi rasoi,No,No,3.7,0,JP Nagar,Casual Dining,800.0,Delivery,North Indian Cuisine
imperio cafe,No,No,3.9,22,Whitefield,Quick Bites,200.0,Delivery,Western Cuisine
cafe sulaimani,No,No,3.7,0,BTM,Quick Bites,300.0,Delivery,South Indian Cuisine
banashankri donne biriyani,Yes,No,3.7,0,Ulsoor,Quick Bites,300.0,Delivery,Mughlai & Hyderabadi Cuisine
dhaba - estd 1986 delhi,Yes,Yes,4.4,41,Indiranagar,"Casual Dining, Bar",400.0,Dine-out,North Indian Cuisine
biryani darbar,Yes,No,3.3,12,Electronic City,Casual Dining,600.0,Delivery,Mughlai & Hyderabadi Cuisine
tapri by the corner,Yes,No,4.1,205,Koramangala 5th Block,Quick Bites,250.0,Dine-out,Fast Food & Street Food
desi dawat,Yes,No,3.7,248,Kumaraswamy Layout,Quick Bites,400.0,Delivery,North Indian Cuisine
mugful of stories,No,No,4.6,274,Kalyan Nagar,Dessert Parlor,300.0,Desserts,Desserts & Beverages
peace restaurant,Yes,No,3.9,41,Koramangala 5th Block,Casual Dining,500.0,Delivery,Asian Cuisine
rk fresh food,Yes,No,3.5,14,BTM,Quick Bites,300.0,Delivery,Fast Food & Street Food
box8- desi meals,Yes,No,4.1,340,Banashankari,"Takeaway, Delivery",500.0,Delivery,North Indian Cuisine
royce' chocolate,No,No,3.5,19,Lavelle Road,Others,1000.0,Desserts,Desserts & Beverages
red bawarchi,Yes,No,3.0,21,BTM,Delivery,600.0,Delivery,North Indian Cuisine
york st.,Yes,No,4.4,41,Koramangala 5th Block,Cafe,900.0,Dine-out,Western Cuisine
gufha - the president hotel,Yes,Yes,4.1,41,Jayanagar,Casual Dining,400.0,Dine-out,North Indian Cuisine
bootlegger,No,No,4.1,41,Lavelle Road,Others,400.0,Delivery,Western Cuisine
tata cha,Yes,No,3.9,41,Indiranagar,Cafe,500.0,Cafes,North Indian Cuisine
tuffreys,Yes,No,3.6,25,Others,Dessert Parlor,250.0,Delivery,Desserts & Beverages
khana khazana,Yes,No,3.7,22,Bannerghatta Road,Delivery,400.0,Delivery,North Indian Cuisine
blueberry restaurant,Yes,No,3.7,36,Bellandur,Quick Bites,400.0,Dine-out,North Indian Cuisine
hotel dine city,Yes,No,3.5,83,HSR,Casual Dining,800.0,Dine-out,North Indian Cuisine
spoon me,No,No,3.5,9,Whitefield,Delivery,400.0,Delivery,North Indian Cuisine
delhi food factory,Yes,No,3.7,0,Frazer Town,Delivery,500.0,Delivery,North Indian Cuisine
abhiruchi andhra mess,Yes,No,3.4,31,Whitefield,Others,300.0,Delivery,South Indian Cuisine
v.s. garden restaurant,No,No,3.5,17,Ejipura,Casual Dining,800.0,Delivery,North Indian Cuisine
andhra ruchulu,Yes,No,3.7,106,Brookefield,Food Court,500.0,Delivery,North Indian Cuisine
muthashy's,Yes,No,4.2,467,BTM,Quick Bites,400.0,Delivery,South Indian Cuisine
tasty bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,300.0,Dine-out,North Indian Cuisine
sri punjabi dhaba,Yes,No,3.3,50,BTM,Others,400.0,Dine-out,North Indian Cuisine
chef all nite,Yes,No,3.9,464,BTM,Quick Bites,300.0,Delivery,North Indian Cuisine
mangalore pearl - seafood restaurant,Yes,No,4.3,41,Frazer Town,Casual Dining,700.0,Delivery,Seafood
chai resto,No,No,3.3,5,Jeevan Bhima Nagar,Quick Bites,200.0,Dine-out,Fast Food & Street Food
al habibi restaurant,Yes,No,3.5,17,BTM,Quick Bites,300.0,Delivery,North Indian Cuisine
eat well,Yes,No,3.0,39,Marathahalli,Delivery,400.0,Delivery,North Indian Cuisine
grannyzhut,Yes,No,3.4,8,HSR,Quick Bites,350.0,Delivery,North Indian Cuisine
zee5 loft,Yes,No,4.4,41,HSR,Cafe,700.0,Delivery,Western Cuisine
ssv upahar,Yes,No,3.7,0,Jayanagar,Quick Bites,300.0,Delivery,South Indian Cuisine
wat bar - sterlings mac hotel,No,No,3.8,47,Old Airport Road,Others,400.0,Drinks & nightlife,Western Cuisine
paisa vasool,Yes,No,3.3,395,Koramangala 7th Block,Quick Bites,400.0,Delivery,North Indian Cuisine
sai foods,Yes,No,4.1,143,Brookefield,Quick Bites,200.0,Dine-out,North Indian Cuisine
the only place,Yes,Yes,4.2,41,Church Street,Casual Dining,1000.0,Delivery,Western Cuisine
swad punjab da,Yes,No,4.1,128,BTM,Quick Bites,150.0,Dine-out,North Indian Cuisine
1522 - the pub,No,No,4.3,41,New BEL Road,Others,400.0,Dine-out,North Indian Cuisine
the pastry inn,No,No,3.4,14,Whitefield,Dessert Parlor,400.0,Delivery,Desserts & Beverages
cafe pink pajamas,Yes,Yes,4.1,41,Kalyan Nagar,Cafe,700.0,Dine-out,Western Cuisine
funjabi,No,No,3.5,140,Church Street,Casual Dining,600.0,Dine-out,North Indian Cuisine
the farm house bar n grill,No,No,3.7,34,Whitefield,"Casual Dining, Bar",800.0,Drinks & nightlife,North Indian Cuisine
chai kada,No,No,3.6,10,Kalyan Nagar,Others,555.4,Dine-out,Fast Food & Street Food
bhavani chats,Yes,No,3.6,34,Bannerghatta Road,Quick Bites,100.0,Delivery,Fusion/Contemporary Indian Cuisine
mra,Yes,No,3.5,13,"Varthur Main Road, Whitefield","Takeaway, Delivery",200.0,Delivery,Fusion & Miscellaneous
paratha treat,Yes,No,3.6,51,Bellandur,Quick Bites,200.0,Dine-out,North Indian Cuisine
sweet chariot,No,No,3.7,0,Jayanagar,Bakery,500.0,Desserts,Fast Food & Street Food
kailash parbat,No,No,3.1,116,Malleshwaram,Food Court,600.0,Dine-out,North Indian Cuisine
atomic lab,No,No,3.5,56,Lavelle Road,"Casual Dining, Bar",400.0,Dine-out,North Indian Cuisine
yumatos,Yes,No,3.4,8,Whitefield,Quick Bites,500.0,Dine-out,North Indian Cuisine
curries and pickles,Yes,No,3.7,0,Whitefield,Quick Bites,250.0,Delivery,North Indian Cuisine
priya juice & snacks,Yes,No,3.7,74,HSR,Beverage Shop,200.0,Delivery,Desserts & Beverages
mangalore lunch home,Yes,No,3.1,33,HBR Layout,Quick Bites,300.0,Dine-out,Seafood
prawn crunch,No,No,3.7,0,St. Marks Road,Quick Bites,400.0,Dine-out,Fast Food & Street Food
aathithya,No,No,3.1,16,Infantry Road,Casual Dining,1100.0,Delivery,North Indian Cuisine
empire restaurant,Yes,No,4.0,41,Kammanahalli,Casual Dining,750.0,Buffet,North Indian Cuisine
