iter	Passed	Remaining
0	194	194546
1	227	113507
2	256	85237
3	294	73446
4	330	65807
5	362	60029
6	392	55635
7	419	51994
8	446	49176
9	475	47122
10	505	45464
11	531	43768
12	558	42434
13	584	41199
14	611	40168
15	640	39420
16	669	38724
17	698	38126
18	726	37522
19	753	36941
20	781	36450
21	809	35972
22	836	35548
23	865	35198
24	892	34824
25	919	34438
26	945	34084
27	971	33724
28	998	33436
29	1026	33195
30	1054	32949
31	1082	32747
32	1109	32512
33	1137	32307
34	1168	32213
35	1204	32264
36	1235	32145
37	1262	31959
38	1294	31899
39	1326	31826
40	1358	31773
41	1386	31626
42	1416	31523
43	1447	31456
44	1480	31423
45	1510	31328
46	1540	31227
47	1569	31136
48	1597	31006
49	1630	30970
50	1663	30953
51	1698	30957
52	1731	30929
53	1759	30827
54	1787	30708
55	1814	30589
56	1840	30451
57	1867	30333
58	1895	30228
59	1920	30088
60	1948	29988
61	1974	29869
62	1999	29743
63	2025	29620
64	2050	29500
65	2077	29400
66	2101	29265
67	2127	29155
68	2155	29084
69	2182	29001
70	2210	28926
71	2235	28813
72	2260	28707
73	2288	28636
74	2312	28520
75	2337	28423
76	2364	28339
77	2390	28259
78	2415	28164
79	2441	28076
80	2465	27976
81	2490	27876
82	2513	27769
83	2537	27670
84	2563	27598
85	2591	27538
86	2615	27451
87	2640	27362
88	2666	27290
89	2691	27215
90	2715	27122
91	2739	27042
92	2765	26969
93	2790	26896
94	2815	26818
95	2840	26744
96	2864	26669
97	2889	26593
98	2913	26515
99	2937	26440
100	2962	26368
101	2990	26326
102	3031	26400
103	3062	26386
104	3087	26320
105	3111	26243
106	3137	26184
107	3165	26144
108	3197	26136
109	3225	26097
110	3254	26066
111	3285	26047
112	3316	26032
113	3344	25996
114	3377	25995
115	3407	25966
116	3437	25943
117	3467	25914
118	3498	25901
119	3531	25894
120	3563	25886
121	3593	25860
122	3624	25839
123	3656	25829
124	3688	25821
125	3722	25817
126	3754	25808
127	3785	25791
128	3817	25777
129	3845	25737
130	3874	25699
131	3902	25659
132	3933	25641
133	3961	25600
134	3988	25557
135	4017	25523
136	4048	25505
137	4074	25451
138	4099	25392
139	4124	25338
140	4151	25293
141	4176	25235
142	4202	25185
143	4229	25139
144	4254	25085
145	4281	25046
146	4305	24984
147	4330	24929
148	4359	24897
149	4386	24855
150	4412	24809
151	4436	24750
152	4462	24706
153	4488	24657
154	4511	24595
155	4534	24533
156	4558	24479
157	4585	24437
158	4609	24379
159	4632	24321
160	4655	24262
161	4678	24203
162	4702	24149
163	4726	24095
164	4750	24041
165	4774	23989
166	4801	23948
167	4827	23906
168	4851	23857
169	4877	23811
170	4905	23780
171	4930	23735
